gc_orgID,name,harmonized_name
3557,armee canadienne,Canadian Army
2251,asc-csa.gc.ca,Canadian Space Agency
2319,asc-nac.gc.ca,Accessibility Standards Canada
2300,asfc,Canada Border Services Agency
2300,asfc-cbsa.gc.ca,Canada Border Services Agency
3437,asia pacific foundation,Asia-Pacific Foundation of Canada
3437,asia-pacific foundation,Asia-Pacific Foundation of Canada
3400,asian development bank,Asian Development Bank
3414,asian infrastructure investment bank,Asian Infrastructure Investment Bank
2285,aspc,Public Health Agency of Canada
2285,aspc-phac.gc.ca,Public Health Agency of Canada
3664,assisted human reproduction agency,Assisted Human Reproduction Agency of Canada
3438,association arpenteurs terres,Association of Canada Lands Surveyors
3459,association canadienne entraineurs,Coaching Association of Canada
3405,association internationale developpement,International Development Association
3438,association lands surveyors,Association of Canada Lands Surveyors
2244,atlantic opportunities agency,Atlantic Canada Opportunities Agency
2244,atlantic opportunities agency agence promotion economique atlantique,Atlantic Canada Opportunities Agency
3654,atlantic pilotage authority,Atlantic Pilotage Authority
2252,atn,Canadian Transportation Agency
3649,atomic energy limited,Atomic Energy of Canada Limited
3649,atomic energy ltd,Atomic Energy of Canada Limited
3649,atomic energy ltd energie atomique limitee,Atomic Energy of Canada Limited
2297,ats,Administrative Tribunals Support Service of Canada
2297,atssc,Administrative Tribunals Support Service of Canada
2297,atssc-scdata,Administrative Tribunals Support Service of Canada
2270,aud,Office of the Auditor General of Canada
2270,auditor general,Office of the Auditor General of Canada
2270,auditor general verificateur general,Office of the Auditor General of Canada
3466,autorite aeroportuaire grand toronto,Greater Toronto Airports Authority
3511,autorite aeroportuaire victoria,Victoria Airport Authority
3644,autorite pont windsor-detroit,Windsor-Detroit Bridge Authority
2294,avc,Veterans Review and Appeal Board
3588,aviation royale canadienne,Royal Canadian Air Force
2262,bac,Library and Archives Canada
2262,bac-lac.gc.ca,Library and Archives Canada
2262,bal,Library and Archives Canada
3633,bank,Bank of Canada
3552,bank museum,Bank of Canada Museum
3633,banque,Bank of Canada
3399,banque africaine developpement,African Development Bank
3400,banque asiatique developpement,Asian Development Bank
3414,banque asiatique investissement dans infrastructures,Asian Infrastructure Investment Bank
3646,banque developpement,Business Development Bank of Canada
3646,banque developpement business development bank,Business Development Bank of Canada
3401,banque developpement caraibes,Caribbean Development Bank
3402,banque europeenne pour reconstruction developpement,European Bank for Reconstruction and Development
3642,banque infrastructure,Canada Infrastructure Bank
3403,banque interamericaine developpement,Inter-American Development Bank
3404,banque internationale pour reconstruction developpement,International Bank for Reconstruction and Development
2231,bc-cb.gc.ca,"Innovation, Science and Economic Development Canada"
3685,bco,Canadian International Trade Tribunal
2284,bcp,Privy Council Office
2284,bcp-pco.gc.ca,Privy Council Office
2231,bcsc-ocsa.gc.ca,"Innovation, Science and Economic Development Canada"
3646,bdc.ca,Business Development Bank of Canada
2276,bec,The Correctional Investigator Canada
2276,bec-oci.gc.ca,The Correctional Investigator Canada
3439,belledune port authority,Belledune Port Authority
2262,bibliotheque archives,Library and Archives Canada
2262,bibliotheque archives library archives,Library and Archives Canada
3429,bibliotheque parlement,Library of Parliament
3665,blue water bridge authority,Blue Water Bridge Authority
3585,boa-opo.gc.ca,Office of the Procurement Ombudsman
3594,boc-oto.gc.ca,Office of the Taxpayers' Ombudsperson
2300,bsf,Canada Border Services Agency
2278,bsgg,Office of the Secretary to the Governor General
2280,bsif,Office of the Superintendent of Financial Institutions Canada
2280,bsif-osfi.gc.ca,Office of the Superintendent of Financial Institutions Canada
2309,bst,Transportation Safety Board of Canada
2309,bst-tsb.gc.ca,Transportation Safety Board of Canada
3440,buffalo fort erie public bridge authority,Buffalo and Fort Erie Public Bridge Authority
3595,bureau ombud veterans,Office of the Veterans' Ombudsman
3585,bureau ombudsman approvisionnement,Office of the Procurement Ombudsman
3594,bureau ombudsman contribuables,Office of the Taxpayers' Ombudsperson
3594,bureau ombudsman contribuables taxpayers ombudsperson,Office of the Taxpayers' Ombudsperson
3583,bureau ombudsman defense nationale forces armees canadiennes,Office of the Ombudsman for the Department of National Defence and the Canadian Armed Forces
3571,bureau ombudsman federal victimes actes criminels,Office of the Federal Ombudsperson for Victims Of Crime
3646,business development bank,Business Development Bank of Canada
3646,business development bank banque developpement,Business Development Bank of Canada
2270,bvg,Office of the Auditor General of Canada
2270,bvg-oag.gc.ca,Office of the Auditor General of Canada
2233,cadets,National Defence
2233,cadets cadets,National Defence
2302,caec,Canada Employment Insurance Commission
2233,caf,National Defence
3613,caisse indemnisation dommages dus pollution par hydrocarbures causee par navires,Ship-source Oil Pollution Fund
2256,caj,Courts Administration Service
2273,cal,Office of the Commissioner of Lobbying of Canada
3441,calgary airport authority,Calgary Airport Authority
2235,canad. secutity intl. service service can. renseign securit,Public Safety Canada
3679,canada agricultural review tribunal,Canada Agricultural Review Tribunal
3553,canada agriculture food museum,Canada Agriculture and Food Museum
3554,canada aviation space museum,Canada Aviation and Space Museum
2300,canada border services agency,Canada Border Services Agency
2300,canada border services agency agence services frontaliers,Canada Border Services Agency
2300,canada border services agency agence services frontaliers treasury board secretariat secretariat conseil tresor,Canada Border Services Agency
3601,canada centre for inland waters,Canada Centre for Inland Waters
3519,canada commonwealth legacy fund,Canada Commonwealth Legacy Fund
3618,canada council for arts,Canada Council for the Arts
3634,canada deposit insurance corporation,Canada Deposit Insurance Corporation
3635,canada development investment corporation,Canada Development Investment Corporation
2257,canada economic development for quebec regions,Canada Economic Development for Quebec Regions
2257,canada economic development for quebec regions developpement economique pour regions quebec,Canada Economic Development for Quebec Regions
2301,canada emission reduction incentives agency,Canada Emission Reduction Incentives Agency
2302,canada employment insurance commission,Canada Employment Insurance Commission
2302,canada employment insurance commission commission assurance-emploi,Canada Employment Insurance Commission
3666,canada employment insurance financing board,Canada Employment Insurance Financing Board
2312,canada energy regulator,Canada Energy Regulator
2312,canada energy regulator regie energie,Canada Energy Regulator
3555,canada firearms centre,Canada Firearms Centre
3443,canada foundation for innovation,Canada Foundation for Innovation
3444,canada foundation for sustainable development technology,Canada Foundation for Sustainable Development Technology
3445,canada games council,Canada Games Council
3446,canada health infoway,Canada Health Infoway Inc.
3680,canada industrial relations board,Canada Industrial Relations Board
3642,canada infrastructure bank,Canada Infrastructure Bank
3421,canada investment savings,Canada Investment and Savings
3650,canada lands company limited,Canada Lands Company Limited
3447,canada media fund,Canada Media Fund
3631,canada mortgage housing corporation,Canada Mortgage and Housing Corporation
3631,canada mortgage housing corporation societe canadienne hypotheques logement,Canada Mortgage and Housing Corporation
3636,canada pension plan investment board,Canada Pension Plan Investment Board
3651,canada post corporation,Canada Post Corporation
3556,canada research chairs,Canada Research Chairs
2303,canada revenue agency,Canada Revenue Agency
2303,canada revenue agency agence revenu,Canada Revenue Agency
2303,canada revenue agency external to government,Canada Revenue Agency
2304,canada school public service,Canada School of Public Service
